# Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Vertical acceleration (G),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Stability margin calibers (​)
70.92,101.42,-21.96,22.4,-0.01,0.05,1500.86,82.64,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
71.27,93.84,-22.03,22.59,0.02,0.21,1499.29,83.06,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
71.61,86.32,-21.8,23.01,-0.02,0.05,1497.25,83.61,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
71.96,78.72,-22.03,23.38,0,0.06,1494.71,84.29,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
72.3,71.16,-22.02,23.17,0,0.07,1492.21,84.96,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
72.64,63.61,-22.01,22.95,0.01,0.12,1489.94,85.57,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
72.99,56.06,-21.95,23.31,0,0.14,1487.56,86.2,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
73.33,48.51,-21.92,23.86,-0.01,0.05,1484.69,86.98,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
73.68,40.94,-22.01,23.73,0,0.07,1481.65,87.79,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
74.02,33.4,-21.99,24.03,-0,0.06,1478.58,88.61,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
74.36,25.84,-22,24.33,0,0.08,1475.25,89.5,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
74.7,18.3,-21.98,24.7,0,0.11,1471.66,90.46,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
75.05,10.76,-21.95,25.28,-0.01,0.01,1467.72,91.52,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
75.54,0,-22.05,25.37,0.01,0.1,1461.79,93.11,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
